"island","site","colony","coral_type","coral_cover","echantillons","morphotype_1","morphotype_2","morphotype_3","morphotype_4","morphotype_5","morphotype_6","morphotype_7","morphotype_8","morphotype_9","morphotype_10","morphotype_11","morphotype_12","morphotype_13","morphotype_14","morphotype_15","morphotype_16","morphotype_17","morphotype_18","morphotype_19","morphotype_20","morphotype_21","morphotype_22","morphotype_23","morphotype_24","morphotype_25","morphotype_26","morphotype_27","morphotype_28","morphotype_29","morphotype_30","morphotype_31","morphotype_32","morphotype_33","morphotype_34","morphotype_35","morphotype_36","morphotype_37","morphotype_38","morphotype_39","morphotype_40","morphotype_41","morphotype_42","morphotype_43","abondance","richesse","shannon","simpson","pielou"
"Tahiti","GRO","C10","A","high","GRO.C10",2,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,1.55711309805765,0.78,0.967488764883562
"Tahiti","GRO","C11","DA","high","GRO.C11",2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,8,0,0,1,0,0,0,0,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,25,9,1.89885630237506,0.8128,0.864206746074685
"Tahiti","GRO","C12","DA","high","GRO.C12",0,1,0,0,0,4,0,0,13,0,0,2,0,0,0,0,0,1,1,1,1,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,10,1.85264715652553,0.77734375,0.804594436992788
"Tahiti","GRO","C13","D","high","GRO.C13",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.09861228866811,0.666666666666667,1
"Tahiti","GRO","C17","A","high","GRO.C17",5,3,1,0,0,1,0,0,0,5,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,10,2.11727709790672,0.861111111111111,0.919521760281019
"Tahiti","GRO","C18","DA","high","GRO.C18",0,1,0,0,0,0,0,2,5,0,0,2,0,1,0,0,0,0,12,1,0,2,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,11,2.00786795807586,0.816326530612245,0.837345976220494
"Tahiti","GRO","C20","D","high","GRO.C20",0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,17,11,2.23160695160893,0.8719723183391,0.930652383748446
"Tahiti","GRO","C21","D","high","GRO.C21",0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,1.88669678465808,0.84,0.969570350190125
"Tahiti","GRO","C22","A","high","GRO.C22",2,3,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,1.99134641341099,0.853333333333333,0.957635198440019
"Tahiti","GRO","C3","A","high","GRO.C3",3,2,0,0,0,2,0,1,0,3,0,6,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,10,2.11763960133693,0.858223062381853,0.91967919352043
"Tahiti","GRO","C4","D","high","GRO.C4",0,1,0,0,0,1,0,1,10,0,0,4,3,0,0,0,0,0,11,2,0,1,0,2,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,42,14,2.21888650671942,0.848072562358277,0.840787534935022
"Tahiti","GRO","C6","A","high","GRO.C6",2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1.38629436111989,0.75,1
"Tahiti","GRO","C7","D","high","GRO.C7",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1.47507631105469,0.73469387755102,0.916516443199602
"Tahiti","GRO","C8","DA","high","GRO.C8",0,2,1,1,0,1,0,2,10,1,0,0,1,0,0,0,0,3,3,0,1,1,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,35,15,2.39226578860632,0.871836734693878,0.883390487972726
"Tahiti","GRO","C9","DA","high","GRO.C9",0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,9,0,0,7,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,29,10,1.940593749554,0.813317479191439,0.842789157047244
"Tetiaroa","BOU","C1","A","high","BOU.C1",0,3,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1.27985422583367,0.7,0.923219672335508
